Year,Term,YearTerm,Subject,Number,Name,Description,Credit Hours,Section Info,Degree Attributes,Schedule Information
2018,Fall,2018-fa,ADV,390,Content Creation,,,,,
2018,Fall,2018-fa,ADV,393,Advertising and Society,,,,,
2018,Fall,2018-fa,ADV,396,Research Experience in Advertising,,,,,
2018,Fall,2018-fa,ADV,399,Advertising Study Abroad,,,,,
2018,Fall,2018-fa,ADV,400,Special Problems,,,,,
2018,Fall,2018-fa,ADV,409,Media Entrepreneurship,,,,,
2018,Fall,2018-fa,ADV,410,Public Relations Strategies,,,,,
2018,Fall,2018-fa,ADV,452,Creative Concepts I,,,,,
2018,Fall,2018-fa,ADV,454,Creative Concepts II,,,,,
2018,Fall,2018-fa,ADV,460,Innovation in Advertising,,,,,
2018,Fall,2018-fa,ADV,461,Computational Advertising,,,,,
2018,Fall,2018-fa,ADV,475,Multicultural Advertising,,,,,
2018,Fall,2018-fa,ADV,476,Global Advertising,,,,,
2018,Fall,2018-fa,ADV,478,Psychology of Advertising,,,,,
2018,Fall,2018-fa,ADV,481,Advertising Research Methods,,,,,
2018,Fall,2018-fa,ADV,482,Qualitative Analysis in Advert,,,,,
2018,Fall,2018-fa,ADV,483,Audience Analysis,,,,,
2018,Fall,2018-fa,ADV,484,Quantitative Research Methods,,,,,
2018,Fall,2018-fa,ADV,490,Advanced Special Topics in Advertising,,,,,
2018,Fall,2018-fa,ADV,491,Advertising Management Plan,,,,,
2018,Fall,2018-fa,ADV,492,Tech and Advertising Campaigns,,,,,
2018,Fall,2018-fa,ADV,494,Persuasion Consumer Response,,,,,
2018,Fall,2018-fa,ADV,495,Internship Seminar,,,,,
2018,Fall,2018-fa,ADV,496,UG Research Project,,,,,
2018,Fall,2018-fa,ADV,497,Colloquium in Advertising,,,,,
2018,Fall,2018-fa,ADV,498,The Sandage Project,,,,,
2018,Fall,2018-fa,ADV,509,Media Entrepreneurship,,,,,
2018,Fall,2018-fa,ADV,550,Foundations of Advertising,,,,,
2018,Fall,2018-fa,ADV,580,Advertising Theory,,,,,
2018,Fall,2018-fa,ADV,581,Quanti Research Methods in Adv,,,,,
2018,Fall,2018-fa,ADV,582,Qualitative Rsrch in Advert,,,,,
2018,Fall,2018-fa,ADV,587,Graduate Seminar I,,,,,
2018,Fall,2018-fa,ADV,588,Graduate Seminar II,,,,,
2018,Fall,2018-fa,ADV,590,Special Topics in Advertising,,,,,
2018,Fall,2018-fa,ADV,594,Advanced Topics in Advertising,,,,,
2018,Fall,2018-fa,ADV,597,Proseminar in Advertising,,,,,
2018,Fall,2018-fa,ADV,598,Professional Project,,,,,
2018,Fall,2018-fa,ADV,599,Thesis Research,,,,,
2018,Fall,2018-fa,AE,100,Intro to Aerospace Engineering,,,,,
2018,Fall,2018-fa,AE,199,Undergraduate Open Seminar,,,,,
2018,Fall,2018-fa,AE,202,Aerospace Flight Mechanics,,,,,
2018,Fall,2018-fa,AE,298,Special Topics,,,,,
2018,Fall,2018-fa,AE,302,Aerospace Flight Mechanics II,,,,,
2018,Fall,2018-fa,AE,311,Incompressible Flow,,,,,
2018,Fall,2018-fa,AE,312,Compressible Flow,,,,,
2018,Fall,2018-fa,AE,321,Mechs of Aerospace Structures,,,,,
2018,Fall,2018-fa,AE,323,Applied Aerospace Structures,,,,,
2018,Fall,2018-fa,AE,352,Aerospace Dynamical Systems,,,,,
2018,Fall,2018-fa,AE,353,Aerospace Control Systems,,,,,
2018,Fall,2018-fa,AE,370,Aerospace Numerical Methods,,,,,
2018,Fall,2018-fa,AE,395,Honors Project,,,,,
2018,Fall,2018-fa,AE,396,Honors Seminar,,,,,
2018,Fall,2018-fa,AE,397,Independent Study,,,,,
2018,Fall,2018-fa,AE,398,Special Topics,,,,,
2018,Fall,2018-fa,AE,402,Orbital Mechanics,,,,,
2018,Fall,2018-fa,AE,403,Spacecraft Attitude Control,,,,,
2018,Fall,2018-fa,AE,410,Computational Aerodynamics,,,,,
2018,Fall,2018-fa,AE,412,Viscous Flow &amp; Heat Transfer,,,,,
2018,Fall,2018-fa,AE,416,Applied Aerodynamics,,,,,
2018,Fall,2018-fa,AE,419,Aircraft Flight Mechanics,,,,,
2018,Fall,2018-fa,AE,420,Finite Element Analysis,,,,,
2018,Fall,2018-fa,AE,427,Mechanics of Polymers,,,,,
2018,Fall,2018-fa,AE,428,Mechanics of Composites,,,,,
2018,Fall,2018-fa,AE,433,Aerospace Propulsion,,,,,
2018,Fall,2018-fa,AE,434,Rocket Propulsion,,,,,
2018,Fall,2018-fa,AE,435,Electric Propulsion,,,,,
2018,Fall,2018-fa,AE,442,Aerospace Systems Design I,,,,,
2018,Fall,2018-fa,AE,443,Aerospace Systems Design II,,,,,
2018,Fall,2018-fa,AE,451,Aeroelasticity,,,,,
2018,Fall,2018-fa,AE,454,Systems Dynamics &amp; Control,,,,,
2018,Fall,2018-fa,AE,456,Global Nav Satellite Systems,,,,,
2018,Fall,2018-fa,AE,460,Aerodynamics &amp; Propulsion Lab,,,,,
2018,Fall,2018-fa,AE,461,Structures &amp; Control Lab,,,,,
2018,Fall,2018-fa,AE,468,Optical Remote Sensing,,,,,
