Year,Term,YearTerm,Subject,Number,Title
2019,Spring,2019-sp,AFRO,341,"Gov & Pol in Africa"
2019,Spring,2019-sp,AFRO,342,"Black Men and Masculinities"
2019,Spring,2019-sp,AFRO,372,"Class Politics & Blk Community"
2019,Spring,2019-sp,AFRO,373,"AfAm Cultr Politic Mid20C"
2019,Spring,2019-sp,AFRO,378,"Race and Revolutions"
2019,Spring,2019-sp,AFRO,380,"Black Women Hist & Cultures"
2019,Spring,2019-sp,AFRO,381,"Black Women and Film"
2019,Spring,2019-sp,AFRO,382,"African Amer Families in Film"
2019,Spring,2019-sp,AFRO,383,"Hist of Blk Women's Activism"
2019,Spring,2019-sp,AFRO,398,"Spec Topics Afro-Am Studies"
2019,Spring,2019-sp,AFRO,400,"African Diasporic Lit Americas"
2019,Spring,2019-sp,AFRO,407,"Slavery & Race in Latin Am"
2019,Spring,2019-sp,AFRO,410,"Hate Crimes"
2019,Spring,2019-sp,AFRO,411,"African American Psychology"
2019,Spring,2019-sp,AFRO,415,"Africana Feminisms"
2019,Spring,2019-sp,AFRO,421,"Racial and Ethnic Families"
2019,Spring,2019-sp,AFRO,435,"Commodifying Difference"
2019,Spring,2019-sp,AFRO,453,"Plantation Soc in Americas"
