Year,Term,YearTerm,Subject,Number,Course Title,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Primary Instructor
2017,Fall,2017-fa,ACCY,558,Taxation of Closely-Held Bus.,3,12,5,1,4,0,0,0,0,0,0,0,1,0,"Mudd, Gregory L"
2017,Fall,2017-fa,ACCY,570,Data Analytics Foundations,13,102,11,5,3,1,1,2,0,0,0,0,0,0,"Brunner, Robert J"
2017,Fall,2017-fa,ACCY,571,Stat Analyses for Accountancy,0,47,39,17,23,4,1,4,0,2,1,0,0,0,"Brunner, Robert J"
2017,Fall,2017-fa,ACE,100,Agr Cons and Resource Econ,1,0,1,1,5,3,0,4,3,2,0,0,2,0,"Gundersen, Lisa C"
2017,Fall,2017-fa,ACE,100,Agr Cons and Resource Econ,0,2,2,1,3,0,2,3,3,2,0,1,4,0,"Gundersen, Lisa C"
2017,Fall,2017-fa,ACE,100,Agr Cons and Resource Econ,0,1,0,4,4,3,3,2,2,1,3,0,0,0,"Gundersen, Lisa C"
2017,Fall,2017-fa,ACE,100,Agr Cons and Resource Econ,2,3,2,2,6,1,1,1,4,2,1,2,0,0,"Gundersen, Lisa C"
2017,Fall,2017-fa,ACE,100,Agr Cons and Resource Econ,0,4,2,4,4,1,1,2,3,0,4,1,2,0,"Gundersen, Lisa C"
2017,Fall,2017-fa,ACE,161,Microcomputer Applications,0,20,0,0,4,0,0,1,0,0,0,0,1,0,"Rogalla, Valerie"
2017,Fall,2017-fa,ACE,161,Microcomputer Applications,0,15,0,0,5,0,0,2,0,0,1,0,3,1,"Lo, Alexander C"
2017,Fall,2017-fa,ACE,161,Microcomputer Applications,0,17,0,0,5,0,0,1,0,0,0,0,1,1,"Rogalla, Valerie"
2017,Fall,2017-fa,ACE,161,Microcomputer Applications,0,19,0,0,6,0,0,1,0,0,1,0,0,0,"Lo, Alexander C"
2017,Fall,2017-fa,ACE,161,Microcomputer Applications,0,19,0,0,6,0,0,0,0,0,0,0,0,0,"Lo, Alexander C"
2017,Fall,2017-fa,ACE,161,Microcomputer Applications,0,23,0,0,3,0,0,0,0,0,0,0,0,0,"Lo, Alexander C"
2017,Fall,2017-fa,ACE,161,Microcomputer Applications,0,14,0,0,8,0,0,1,0,0,1,0,0,1,"Lo, Alexander C"
2017,Fall,2017-fa,ACE,161,Microcomputer Applications,0,39,0,0,6,0,0,1,0,0,1,0,0,1,"Rogalla, Valerie"
2017,Fall,2017-fa,ACE,161,Microcomputer Applications,0,19,0,0,3,0,0,4,0,0,0,0,1,0,"Lo, Alexander C"
2017,Fall,2017-fa,ACE,161,Microcomputer Applications,0,36,0,0,6,0,0,1,0,0,1,0,1,1,"Rogalla, Valerie"
2017,Fall,2017-fa,ACE,161,Microcomputer Applications,0,16,0,0,3,0,0,5,0,0,0,0,0,0,"Rogalla, Valerie"
2017,Fall,2017-fa,ACE,161,Microcomputer Applications,0,19,0,0,5,0,0,0,0,0,0,0,0,0,"Rogalla, Valerie"
2017,Fall,2017-fa,ACE,199,Introduction to Sales,28,5,1,0,0,1,0,1,0,0,0,0,0,0,"Irani, Kaizad R"
