Fall,Term Code,College,Department,Degree,Major Code,Major Name,Concentration Code,Concentration Name,Total,Male,Female,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unknown,All African American,All Native American,All Hawaiian/ Pac Isl,All Asian,Illinois,Non-Illinois,Academic Program Code
2018,120188,KV ,299,BSLAS ,5535,Psychology ,5627,Intradisciplinary Psychology ,24,8,16,0,14,3,1,4,0,0,1,1,0,2,0,0,4,21,3,10KV5535BSLA
2018,120188,KV ,299,BSLAS ,5535,Psychology ,5627,Intradisciplinary Psychology ,5,1,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,1,10KV8037BSLA
2018,120188,KV ,299,BSLAS ,5535,Psychology ,5628,Diversity Science ,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,10KV5535BSLA
2018,120188,KV ,299,BSLAS ,5535,Psychology ,5629,Cognitive Neuroscience ,6,1,5,0,2,2,1,0,0,0,0,1,0,1,0,0,2,4,2,10KV5535BSLA
2018,120188,KV ,299,BSLAS ,5535,Psychology ,5629,Cognitive Neuroscience ,2,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,10KV8037BSLA
2018,120188,KV ,299,BSLAS ,5535,Psychology ,5630,Social Psychology ,7,1,6,0,2,2,1,0,0,0,0,2,0,1,0,0,2,5,2,10KV5535BSLA
2018,120188,KV ,299,BSLAS ,5535,Psychology ,5631,Personality Psychology ,2,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,10KV5535BSLA
2018,120188,KV ,299,MS ,5625,Psychological Science ,  ,  ,21,8,13,0,8,1,2,0,0,0,0,10,0,2,0,0,1,4,17,1PKS5625MS
2018,120188,KV ,299,NONE ,5535,Psychology ,  ,  ,861,235,626,0,324,143,104,169,0,1,35,84,1,130,8,6,174,715,146,10KV5535NONE
2018,120188,KV ,299,PHD ,5535,Psychology ,  ,  ,133,37,96,0,48,17,9,12,0,1,4,42,0,11,0,1,21,15,118,10KS5535PHD
2018,120188,KV ,303,BALAS ,1008,African American Studies ,  ,  ,19,5,14,0,0,1,15,1,0,0,1,1,0,17,0,0,1,17,2,10KV1008BALA
2018,120188,KV ,303,BALAS ,1008,African American Studies ,  ,  ,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,10KV8037BALA
2018,120188,KL ,306,MS ,5188,Agricultural Production ,5166,Professional Science Masters ,6,1,5,0,4,0,0,0,0,0,0,2,0,0,0,0,0,4,2,1PKS5188MS
2018,120188,KL ,306,MS ,5599,Bioprocessing and Bioenergy ,5166,Professional Science Masters ,10,6,4,0,2,0,0,0,0,0,0,8,0,0,0,0,0,1,9,1PKS5599MS
2018,120188,KV ,324,BALAS ,344,Sociology ,  ,  ,167,61,106,0,48,10,44,42,0,0,6,17,0,51,3,1,13,141,26,10KV0344BALA
2018,120188,KV ,324,BALAS ,344,Sociology ,  ,  ,12,1,11,0,4,1,1,4,0,0,0,2,0,1,0,0,1,10,2,10KV8037BALA
2018,120188,KV ,324,PHD ,344,Sociology ,  ,  ,34,15,19,0,13,2,2,4,0,0,1,11,1,3,1,0,4,8,26,10KS0344PHD
2018,120188,KN ,335,BS ,5391,Learning and Education Studies ,  ,  ,11,4,7,0,1,3,1,2,0,0,1,3,0,2,0,0,3,6,5,10KN5391BS
2018,120188,KN ,335,BS ,5391,Learning and Education Studies ,5387,Applied Learning Science ,2,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,10KN5391BS
2018,120188,KN ,335,BS ,5391,Learning and Education Studies ,5388,Ed Equlty & Cltrl Understandng ,12,0,12,0,3,0,2,3,0,0,2,2,0,4,1,0,1,10,2,10KN5391BS
2018,120188,KN ,335,BS ,5391,Learning and Education Studies ,5389,Workplace Trng & Development ,12,5,7,0,6,2,0,3,0,0,1,0,0,1,0,0,3,12,0,10KN5391BS
2018,120188,KN ,335,BS ,5391,Learning and Education Studies ,5417,"Dig. Env. Lrnng, Tchng, Agency ",11,5,6,0,4,1,3,2,0,0,0,1,0,3,0,0,1,8,3,10KN5391BS
2018,120188,KN ,335,NDEG ,67,Nondegree ,  ,  ,5,1,4,0,3,0,0,0,0,0,1,1,0,1,1,0,0,4,1,10KN0067NDEG
2018,120188,KN ,335,NONE ,5598,Education Curriculum Uassign ,  ,  ,22,4,18,0,13,0,2,6,0,0,1,0,0,3,1,0,0,20,2,10KN5598NONE
2018,120188,KL ,342,BS ,5318,Agric Leadership & Sci Educ ,5319,Agricultural Science Education ,27,8,19,0,25,1,0,0,0,0,1,0,0,0,1,0,1,26,1,10KL5319BS
2018,120188,KL ,342,BS ,5318,Agric Leadership & Sci Educ ,5320,Agricultural Leadership Educ ,28,9,19,0,28,0,0,0,0,0,0,0,0,0,0,0,0,28,0,10KL5320BS
2018,120188,KL ,342,MS ,181,Agricultural Education ,  ,  ,10,2,8,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10KS0181MS
2018,120188,KL ,342,MS ,181,Agricultural Education ,  ,  ,22,8,14,0,20,0,2,0,0,0,0,0,0,2,0,0,0,18,4,10KS0181MSU
2018,120188,KP ,343,BS ,408,Bioengineering ,  ,  ,266,129,137,0,112,95,5,21,0,0,18,10,5,7,2,2,112,218,48,10KP0408BS
