CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade
39629,REL,110,World Religions,LN1,OLC,120245,"Ebel, Jonathan H",0,24,11,4,7,6,1,5,1,2,1,1,2,0,3.15
36932,RST,100,RST in Modern Society,ONL,ONL,120245,"Shinew, Kimberly J",13,9,9,4,3,3,4,0,0,0,0,1,0,0,3.51
41139,RST,118,Student-Athlete Transition,SAT,LCD,120245,"Santos, Carla A",0,33,8,1,2,1,0,0,0,0,0,0,0,0,3.85
37835,RST,242,Nature and American Culture,ONL,ONL,120245,"Pitas, Nicholas A",0,16,0,0,7,0,0,5,0,0,2,0,3,1,2.94
42168,RST,335,Leisure and Consumer Culture,A,ONL,120245,"Brooks, Caitlin M",6,3,4,3,6,2,2,2,1,0,0,1,2,0,2.97
41804,SBC,510,Messaging Strategy,A,ONL,120245,"Mabry-Flynn, Amanda D",25,3,2,1,0,0,0,0,0,0,0,0,1,0,3.83
35696,SHS,121,American Sign Language I,A,ONL,120245,"Colon, Carlos",6,6,0,5,2,2,0,0,0,0,2,0,0,0,3.39
35116,SHS,579,Prof/Eth/Legal Issues AuD/SLP,LEC,ONL,120245,"Krok, Windi",0,30,0,0,0,1,0,0,0,0,0,0,0,0,3.96
37477,SOC,100,Introduction to Sociology,BD2,ONL,120245,"Dill, Brian",0,37,10,5,0,2,1,0,1,0,1,0,3,0,3.53
39088,SOC,101,Sociology of Gender,ONL,ONL,120245,"Moussawi, Ghassan",1,7,4,2,1,3,0,1,2,1,3,0,1,0,2.85
36338,SOC,310,Sociology of Deviance,ONL,ONL,120245,"Atiles Osoria, Jose M",17,2,1,3,0,0,1,0,2,0,1,0,2,0,3.32
34358,SOCW,410,Social Welfare Pol and Svcs,24A,ONL,120245,"Shelton, Elizabeth A",8,12,0,4,0,0,0,0,0,0,0,0,1,0,3.73
38379,SOCW,410,Social Welfare Pol and Svcs,24B,ONL,120245,"Laursen, Tiffany S",23,2,0,1,0,0,0,0,0,0,0,0,0,0,3.97
40237,SOCW,410,Social Welfare Pol and Svcs,24C,ONL,120245,"Schultz, Margaret C",9,13,3,0,1,0,0,0,0,0,0,0,0,0,3.92
41018,SOCW,436,Intl SW & Development,B,ONL,120245,"Laursen, Tiffany S",26,1,2,0,0,1,0,0,0,0,0,0,0,0,3.94
37492,SOCW,451,HBSE I: Human Development,24A,ONL,120245,"Cintron, Valerie",15,6,3,0,0,1,0,0,0,0,0,0,0,0,3.91
38380,SOCW,451,HBSE I: Human Development,24B,ONL,120245,"Wilcher, Katina Y",4,9,7,1,0,1,0,0,0,0,0,0,0,0,3.8
40238,SOCW,451,HBSE I: Human Development,24C,ONL,120245,"Cintron, Valerie",17,4,2,0,1,1,0,0,0,0,0,0,0,0,3.88
39149,SOCW,502,Brief Mot Interventions SU,23A,ONL,120245,"Cornell, Kaitlyn R",20,2,0,1,0,0,0,0,0,0,0,0,0,0,3.97
36760,SOCW,505,Behav and Cogn Methods for SW,23A,ONL,120245,"Harden, Kimberly L",0,23,1,1,0,0,0,0,0,0,0,0,0,0,3.96
41177,SOCW,505,Behav and Cogn Methods for SW,23B,ONL,120245,"Cintron, Valerie",14,2,5,1,2,1,0,0,0,0,0,0,0,0,3.77
42184,SOCW,520,Social Welfare Planning,23A,ONL,120245,"Landa, Cady E",2,12,3,5,5,1,0,0,0,0,0,0,0,0,3.62
42185,SOCW,522,SW Practice with Communities,23A,ONL,120245,"Adams, Kathleen J",0,20,3,2,0,0,0,0,0,0,0,0,1,0,3.76
39045,SPAN,130,Intermediate Spanish,2AO,ONL,120245,"Castro Brizuela, Camila F",2,1,4,1,3,1,2,0,1,0,1,0,5,0,2.33
39047,SPAN,130,Intermediate Spanish,2C,ONL,120245,"Morales Perez, Gerson",7,2,0,4,1,2,0,2,3,0,0,0,1,0,3.03
39043,SPAN,142,Spanish in the Professions,2AO,ONL,120245,"Gonzalez Quirog, Maria S",8,2,0,3,1,0,2,0,0,1,1,1,3,0,2.76
31389,SPED,117,The Culture of Disability,A,ONL,120245,"Tarconish, Emily J",6,18,9,3,2,3,2,1,0,0,1,0,3,0,3.35
42154,SPED,465,Curriculum and Methods in ECSE,A,ONL,120245,"Hardy, Jessica K",0,20,0,0,5,0,0,0,0,0,0,0,1,0,3.65
31216,SPED,517,Disability Issues in SPED,AC,ONL,120245,"Carey, Yvonne A",19,8,0,0,1,0,0,0,0,0,0,0,0,0,3.96
36918,STAT,100,Statistics,ONL,ONL,120245,"Rao, V.N. Vimal",10,36,21,7,14,8,0,3,1,0,0,1,3,1,3.42
38699,STAT,385,Statistics Programming Methods,ONL,ONL,120245,"Jia, Weijia",7,10,7,4,6,2,3,0,1,0,1,1,0,1,3.35
30460,STAT,400,Statistics and Probability I,L1,ONL,120245,"Unger, David",17,61,9,2,4,2,0,0,0,0,0,0,1,1,3.84
33498,STAT,410,Statistics and Probability II,1GR,LCD,120245,"Stepanov, Alexey G",6,2,2,0,4,0,1,0,2,0,1,1,2,0,2.84
42175,STAT,432,Basics of Statistical Learning,1GR,ONL,120245,"Lee, Hyoeun",6,33,2,0,1,0,0,0,0,0,0,1,1,0,3.83
41915,TAM,212,Introductory Dynamics,OLC,OLC,120245,"Saengow, Chaimongkol",3,5,2,5,8,6,1,4,1,0,0,0,0,0,3.09
41671,TAM,251,Introductory Solid Mechanics,OLC,OLC,120245,"Saengow, Chaimongkol",0,2,9,8,3,4,3,4,1,1,2,0,0,0,2.9
38375,UP,136,Urban Sustainability,DA,ONL,120245,"Allred, Dustin",0,19,3,0,0,1,0,0,0,0,0,0,0,0,3.9
