Subject,Course,CRN,Course Title,Course Section,Sched Type,Term,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade,Primary Instructor
CS,441,74471,Applied Machine Learning,DSO,ONL,120238,14,159,29,8,7,2,0,1,0,0,0,1,0,0,3.86,"Morales Aguirre, Marco An"
CS,442,77551,Trustworthy Machine Learning,TLU,LCD,120238,2,7,5,4,4,0,0,0,0,0,0,0,0,0,3.63,"Zhao, Han"
CS,444,77548,Deep Learning for Compt Visn,CVU,LCD,120238,5,17,33,5,8,3,2,1,0,0,0,0,1,0,3.55,"Gupta, Saurabh"
CS,445,65086,Computational Photography,CU,ONL,120238,32,49,28,7,2,2,3,0,0,0,0,0,2,0,3.75,"Hoiem, Derek W"
CS,445,73794,Computational Photography,DSO,ONL,120238,5,14,12,3,1,3,0,0,0,0,0,0,0,2,3.71,"Hoiem, Derek W"
CS,446,46792,Machine Learning,B3,LCD,120238,19,72,0,18,14,0,5,12,0,0,0,0,1,1,3.56,"Gui, Liangyan"
CS,447,70473,Natural Language Processing,DSO,ONL,120238,32,60,51,14,12,9,2,0,1,1,1,0,0,3,3.66,"Hockenmaier, Julia C"
CS,447,63292,Natural Language Processing,N3,ONL,120238,12,30,30,10,7,1,4,1,0,0,0,0,1,0,3.62,"Hockenmaier, Julia C"
CS,450,36016,Numerical Analysis,BL1,LCD,120238,5,36,8,7,5,3,5,2,2,1,4,1,1,2,3.33,"Kloeckner, Andreas P"
CS,460,78443,Security Laboratory,ALU,OLC,120238,19,1,0,0,1,0,0,0,0,0,0,0,0,0,3.96,"O'Brien, Charles W"
CS,461,49547,Computer Security I,AL4,LEC,120238,3,5,8,6,10,9,8,0,3,0,0,0,3,0,2.89,"Levchenko, Kirill I"
CS,465,43389,User Interface Design,AEU,LCD,120238,5,111,47,7,7,7,0,0,0,0,1,0,0,0,3.79,"Bailey, Brian P"
CS,466,51764,Introduction to Bioinformatics,B3,LCD,120238,18,17,6,8,11,4,3,4,3,1,2,0,1,1,3.28,"El-Kebir, Mohammed"
CS,473,70159,Algorithms,S4,LCD,120238,1,9,5,11,3,3,0,0,0,0,0,0,3,1,3.2,"Howard, Christian J"
CS,498,40094,Mobile Robotics for CS,GCU,LEC,120238,47,8,3,5,2,2,1,0,0,0,0,0,0,0,3.83,"Chowdhary, Girish"
CS,498,58241,Intro to Quantum Computing,QCG,LEC,120238,7,18,3,2,0,0,0,0,0,0,0,0,0,1,3.93,"Khurana, Dakshita"
CS,498,31535,Law &Policy Issues in CS,RC2,LEC,120238,6,49,5,4,2,0,0,0,0,0,0,0,0,0,3.9,"Cunningham, Ryan M"
