Subject,Course,CRN,Course Title,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade,Primary Instructor
MATH,441,37763,Differential Equations,6,10,0,1,2,1,2,0,1,0,0,0,0,0,3.59,"Manfroi, Aldo J"
MATH,444,30012,Elementary Real Analysis,2,5,2,3,2,4,3,2,0,0,1,1,0,0,3,"Miles, Joseph B"
MCB,150,36346,Molec & Cellular Basis of Life,3,4,5,4,1,8,8,5,3,7,2,2,7,2,2.21,"Mehrtens, Bradley G"
MCB,244,36047,Human Anatomy & Physiology I,1,4,4,2,10,4,5,5,1,0,1,0,0,0,2.87,"Brown, Chester M"
MCB,250,30036,Molecular Genetics,3,1,1,0,3,0,3,5,2,1,1,2,1,0,2.29,"Kirchner, Nicholas C"
MCB,450,30724,Introductory Biochemistry,3,5,3,1,4,5,2,2,5,2,1,1,3,0,2.51,"Levesque, Lyne"
MUS,130,30102,Introd to the Art of Music,27,2,1,0,0,0,0,0,0,1,0,1,1,0,3.69,"Magee, Gayle S"
MUS,132,38377,History of Rock,2,16,6,3,8,1,1,0,0,0,1,0,2,0,3.35,"Solis, Gabriel"
MUS,132,38696,History of Rock,2,6,1,2,4,0,0,2,0,0,2,0,7,0,2.32,"Solis, Gabriel"
NPRE,402,38743,Nuclear Power Engineering,4,8,5,3,2,2,1,0,0,0,0,0,0,0,3.61,"Ragheb, Magdi"
PHIL,102,39335,Logic and Reasoning,0,2,6,0,5,3,4,2,1,0,3,1,3,0,2.39,"Gilbert, David R"
PHYS,101,30232,College Physics: Mech & Heat,13,6,3,4,0,2,1,4,3,1,2,1,1,0,3.05,"Shoaf, Curtis M"
PHYS,212,30264,University Physics: Elec & Mag,13,2,6,3,4,3,7,4,6,6,1,0,4,0,2.63,"Chamberlain, Robert T"
PHYS,213,30275,Univ Physics: Thermal Physics,4,6,6,4,1,5,4,3,4,0,2,3,3,0,2.62,"Hassani, Sadri D"
PHYS,214,30282,Univ Physics: Quantum Physics,2,4,4,6,2,3,6,2,0,3,0,2,1,1,2.74,"Hassani, Sadri D"
PS,101,30314,Intro to US Gov & Pol,0,9,3,5,9,6,3,5,1,3,0,0,5,1,2.64,"Kantack, Benjamin R"
PS,241,30318,Comp Politics in Dev Nations,3,2,3,2,2,3,3,3,1,3,1,0,1,0,2.64,"Waeiss, Charla S"
PS,280,30322,Intro to Intl Relations,1,7,5,3,3,2,0,0,0,0,0,2,3,1,2.92,"Pierce, Justin D"
PS,385,38327,Politics of the European Union,4,5,5,3,2,0,1,1,0,0,0,0,1,0,3.39,"Iannantuoni, Alice"
PS,491,34453,Internship,0,3,15,8,3,0,0,0,0,0,0,0,0,0,3.54,"Mayer, Andrea L"
PSYC,100,39086,Intro Psych,3,32,4,5,3,0,3,1,2,0,0,0,1,0,3.57,"Shenouda, Christine K"
PSYC,100,31257,Intro Psych,0,13,10,7,10,1,0,0,0,3,1,0,1,0,3.25,"Shenouda, Christine K"
RLST,110,35077,World Religions,0,13,7,3,10,3,1,5,1,1,1,0,2,0,3.02,"Ebel, Jonathan H"
RST,199,38593,CHAMP Student Athlete Seminar,0,51,7,3,5,1,1,4,0,0,0,0,0,0,3.72,"Raycraft, Michael"
RST,242,37835,Nature and American Culture,0,29,0,0,2,0,0,1,0,0,0,0,0,0,3.88,"Browning, Matthew"
SHS,514,35114,Motor Speech Disorders,2,16,2,1,0,0,0,0,0,0,0,0,0,0,3.94,"Mendes, Clarion C"
SHS,577,30449,Advanced Practicum in SHS,4,12,4,0,4,0,0,0,0,0,0,0,0,0,3.78,"Olson, Jaime L"
SOC,100,36336,Introduction to Sociology,9,51,4,7,4,2,1,3,0,0,0,0,1,0,3.7,"VanHeuvelen, Jane"
