CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,A Range,B Range,C Range,D Range,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade
30412,ACCY,398,Practical Problems in Atg,A,ONL,120251,"Hutchens, Matthew",,,,,0,119,0,0,2,0,0,3,0,0,3,0,1,0,3.85
30311,ACCY,405,Assurance and Attestation,AE1,LCD,120251,"Rogowski, Edward J",,,,,7,11,5,4,4,1,2,0,0,0,1,0,0,0,3.54
30315,ACCY,405,Assurance and Attestation,AE2,LCD,120251,"Chatterton, Angel",,,,,0,6,17,7,4,0,0,0,0,0,0,0,0,0,3.58
30324,ACCY,405,Assurance and Attestation,AE3,LCD,120251,"Ciconte, William",,,,,0,6,11,8,5,1,1,1,0,1,0,0,0,0,3.36
52616,ACCY,405,Assurance and Attestation,AE5,LCD,120251,"Chatterton, Angel",,,,,0,6,3,6,10,1,2,0,1,0,0,0,0,0,3.24
60014,ACCY,405,Assurance and Attestation,AE6,LCD,120251,"Ciconte, William",,,,,0,5,10,7,6,4,0,0,0,0,0,0,0,0,3.4
71388,ACCY,405,Assurance and Attestation,AE7,LCD,120251,"Ciconte, William",,,,,0,5,3,10,8,6,0,1,1,0,0,0,0,0,3.18
60044,ACCY,410,Advanced Financial Reporting,A3,LCD,120251,"Kustanovich, Michael",,,,,2,7,3,2,4,2,2,0,0,0,0,0,0,0,3.46
60045,ACCY,410,Advanced Financial Reporting,B3,LCD,120251,"Ibrahim, Adel Nematallah",,,,,0,12,2,4,7,2,0,0,0,0,0,0,0,0,3.52
61733,ACCY,410,Advanced Financial Reporting,C3,LCD,120251,"Chen, Ciao-Wei",,,,,0,4,5,1,6,5,2,1,0,0,0,0,1,0,3.02
61734,ACCY,410,Advanced Financial Reporting,D3,LCD,120251,"Kustanovich, Michael",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
61758,ACCY,410,Advanced Financial Reporting,F3,LCD,120251,"Ibrahim, Adel Nematallah",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
61759,ACCY,410,Advanced Financial Reporting,G3,LCD,120251,"Chen, Ciao-Wei",,,,,2,6,6,5,5,4,0,0,0,0,0,0,0,0,3.45
