CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade
70206,ACCY,575,Data Analytics Apps in ACCY,H,LCD,120241,"Penn, Michael W",4,13,7,0,1,0,0,0,0,0,0,0,0,0,3.87
70683,ACCY,576,Data Preparation for Accting,DA1,ONL,120241,"Guymon, Ronald N",21,19,4,1,1,0,0,1,0,0,0,0,0,0,3.89
71767,ACCY,577,Machine Learning for Accting,DB1,ONL,120241,"Lu, Zhenzhong L",3,21,9,2,5,1,0,0,0,0,0,0,1,0,3.65
75976,ACCY,593,Disruption & Emerging Tech,IMB,ONL,120241,"Brunner, Robert J",62,50,4,1,2,1,0,0,0,0,0,0,0,0,3.96
30470,ACE,100,Intro to Applied Micro,AD1,DIS,120241,"Gundersen, Lisa C",1,4,4,2,3,2,3,4,3,2,0,0,1,0,2.7
30473,ACE,100,Intro to Applied Micro,AD3,DIS,120241,"Gundersen, Lisa C",3,6,9,3,2,0,3,4,0,0,0,0,0,0,3.33
30480,ACE,100,Intro to Applied Micro,AD7,DIS,120241,"Gundersen, Lisa C",7,3,7,2,5,2,2,1,1,0,0,0,0,0,3.37
30513,ACE,161,Microcomputer Applications,N2,ONL,120241,"Burnett, Meghan L",0,30,0,0,14,0,0,2,0,0,0,0,0,0,3.61
30493,ACE,161,Microcomputer Applications,R,OLB,120241,"Lo, Alexander C",0,16,0,0,8,0,0,4,0,0,0,0,0,1,3.43
75954,ACE,199,Applied Statistics Lab,AS3,LBD,120241,"Valdebenito Ram, Rocio I",19,0,0,1,0,0,0,1,0,0,0,0,0,0,3.87
73225,ACE,199,"Women, Money and Power",WMP,Onl,120241,"Fee, Presley S",13,19,0,0,7,0,0,0,0,0,3,0,2,0,3.45
30528,ACE,210,Environmental Economics,AL1,LEC,120241,"Damon, Lisa A",11,21,16,11,14,9,5,8,2,0,4,2,1,0,3.13
75974,ACE,221,Negotiation,NPS,LCD,120241,"Stoddard, Paul B",105,25,7,4,5,3,3,3,0,0,1,0,0,0,3.82
55458,ACE,231,Food and Agribusiness Mgt,T,LCD,120241,"Stoddard, Paul B",11,22,24,19,20,9,6,4,0,1,0,0,1,0,3.34
30577,ACE,232,Farm Management,S,LCD,120241,"Elmore, Ailie C",0,8,10,3,13,6,4,2,1,1,1,0,0,0,3.08
55444,ACE,240,Personal Financial Planning,ONL,ONL,120241,"Lemoine, Craig",372,156,0,0,58,0,0,21,0,0,13,0,22,1,3.65
55447,ACE,240,Personal Financial Planning,PS,LCD,120241,"Sanchez, Donovan",13,27,19,10,5,3,2,0,1,1,1,0,1,0,3.55
39440,ACE,251,The World Food Economy,AL1,OLC,120241,"Michelson, Hope C",20,42,27,28,13,4,3,2,4,1,1,1,2,0,3.45
70716,ACE,262,App Stat Mthds & Data AnlytcsI,AS1,LEC,120241,"Gundersen, Lisa C",4,14,15,4,18,9,7,5,2,0,4,2,1,0,2.98
70717,ACE,264,App Stat Mthds & Data Anlytcs2,AS2,LCD,120241,"Hultgren, Andrew B",25,21,19,11,10,9,5,7,0,0,1,0,0,0,3.44
30581,ACE,270,Consumer Economics,E,LEC,120241,"Gundersen, Lisa C",4,11,5,5,3,3,0,0,0,0,0,0,1,0,3.5
70714,ACE,300,Interm. Applied Microeconomics,AL1,LEC,120241,"Endres, Renata",11,18,5,12,14,10,4,7,3,0,2,2,0,1,3.12
71848,ACE,306,Food Law,P,LCD,120241,"Endres, A B",3,16,6,2,11,1,1,2,0,0,1,0,0,0,3.43
60459,ACE,310,Natural Resource Economics,AL1,LEC,120241,"Endres, Renata",7,11,8,6,7,0,2,3,0,2,0,0,1,0,3.31
74133,ACE,344,FinTech Pers Fin & Fin Plan,TCH,ONL,120241,"Sigauke, Tapiwa",20,13,3,4,3,1,1,0,2,0,0,0,0,0,3.7
73342,ACE,345,Finan Decision Indiv Sm Bus,X,LCD,120241,"Elmore, Ailie C",4,10,13,17,11,4,2,2,3,2,1,0,0,0,3.21
53546,ACE,360,Spreadsheet Models & Applic,B1,LBD,120241,"Burnett, Meghan L",0,20,0,0,5,0,0,2,0,0,0,0,0,0,3.67
69674,ACE,360,Spreadsheet Models & Applic,ONL,ONL,120241,"Campbell, William D",0,29,2,0,2,2,0,3,0,0,0,0,2,1,3.52
30586,ACE,398,"Rec, Sprt, & Tour Econ Croatia",CR,LCD,120241,"Endres, Renata",9,8,2,0,2,0,0,0,0,0,0,0,0,0,3.87
30588,ACE,403,Agricultural Law,UG,LCD,120241,"Coppess, Jonathan W",5,3,5,7,0,1,0,0,0,0,0,0,0,0,3.63
70335,ACE,410,Energy Economics,GR,LCD,120241,"Gerveni, Maria",11,9,5,4,3,1,1,0,0,0,0,0,0,0,3.71
30592,ACE,427,Commodity Price Analysis,C,LCD,120241,"Janzen, Joseph P",0,12,4,5,9,6,1,1,1,0,0,0,0,0,3.29
57692,ACE,428,Commodity Futures and Options,E,LCD,120241,"Stoddard, Paul B",8,11,10,1,0,10,2,2,2,2,1,0,1,0,3.17
43567,ACE,430,Food Marketing,S,LCD,120241,"Goldsmith, Peter D",1,4,2,6,5,3,5,1,2,0,2,0,0,0,2.88
72008,ACE,432,Advanced Farm Management,M,LCD,120241,"Raab, Dwight D",10,4,3,1,1,1,1,1,0,0,0,1,0,0,3.52
58953,ACE,435,Global Agribusiness Management,GR,LCD,120241,"Colussi, Joana",37,31,6,9,6,2,1,0,0,0,0,0,0,0,3.8
55460,ACE,440,Finan Plan for Professionals,UG,LCD,120241,"Allen, Sharon C",13,35,0,0,10,0,0,2,0,0,1,0,0,0,3.72
55323,ACE,444,Finan Serv & Invest Plan,P,LCD,120241,"Sherrick, Bruce J",10,26,1,1,6,2,0,5,0,0,3,0,0,1,3.47
49906,ACE,446,Modeling App's Finan Plan,GR,LBD,120241,"Sherrick, Bruce J",3,10,0,6,5,0,0,3,0,0,1,0,0,0,3.36
52915,ACE,449,Retirement & Benefit Planning,UG,LCD,120241,"Sanchez, Donovan",2,18,22,16,8,6,1,1,0,0,0,0,0,0,3.49
49908,ACE,451,Agriculture in Intl Dev,GR,LCD,120241,"McNamara, Paul E",5,2,2,9,2,2,0,4,0,0,0,0,0,0,3.28
45927,ACE,456,Agricultural and Food Policies,GR,LCD,120241,"Hutchins, Jared P",2,14,0,4,11,0,0,1,0,0,0,0,1,0,3.42
30604,ACE,474,Economics of Consumption,UG,LCD,120241,"Xu, Yilan",7,13,3,6,10,6,1,4,0,0,0,0,0,1,3.35
62223,ACE,476,Behavioral Economics,UG,LCD,120241,"Herrera Almanza, Catalina",0,11,9,10,4,2,4,2,1,0,0,0,0,1,3.32
