CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,A Range,B Range,C Range,D Range,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade
38743,NPRE,402,Nuclear Power Engineering,D3,LEC,120185,"Ragheb, Magdi",,,,,1,6,5,5,1,0,0,0,0,2,0,1,0,0,3.32
39335,PHIL,102,Logic and Reasoning,ONL,ONL,120185,"Gilbert, David R",,,,,2,3,6,4,1,0,1,4,0,2,0,2,1,0,2.8
30232,PHYS,101,College Physics: Mech & Heat,A,LEC,120185,"Shoaf, Curtis M",,,,,9,15,9,5,6,6,3,3,1,0,1,0,0,1,3.37
30239,PHYS,102,College Physics: E&M & Modern,A,LEC,120185,"Carrubba, James G",,,,,2,3,1,2,3,2,2,4,2,0,0,0,1,0,2.76
30254,PHYS,211,University Physics: Mechanics,A,LEC,120185,"Rosenblatt, Rebecca J",,,,,4,4,3,1,5,2,5,0,2,1,0,0,0,1,3.07
30264,PHYS,212,University Physics: Elec & Mag,A,LEC,120185,"Chamberlain, Robert T",,,,,7,5,5,3,1,2,4,6,2,0,4,2,0,0,2.8
30275,PHYS,213,Univ Physics: Thermal Physics,A,LEC,120185,"Hassani, Sadri D",,,,,10,4,6,5,3,5,5,7,5,2,0,3,1,0,2.78
30282,PHYS,214,Univ Physics: Quantum Physics,A,LEC,120185,"Hassani, Sadri D",,,,,10,5,1,3,1,2,5,3,2,7,1,1,1,0,2.71
37860,PHYS,403,Modern Experimental Physics,A,LAB,120185,"Colla, Eugene V",,,,,14,10,0,0,1,0,1,0,0,0,0,0,0,0,3.9
39523,PS,100,Intro to Political Science,ONL,ONL,120185,"Leffingwell, Sarah K",,,,,2,6,10,6,5,2,2,0,0,3,0,1,0,0,3.2
30318,PS,241,Comp Politics in Dev Nations,ONL,ONL,120185,"Iannantuoni, Alice",,,,,4,4,2,2,5,1,1,1,1,0,2,0,1,0,2.99
36371,PS,305,The US Supreme Court,JTW,ONL,120185,"Thomas-Ward, Jamie M",,,,,0,8,3,2,2,2,2,2,0,0,1,0,1,0,3.07
38327,PS,385,Politics of the European Union,ONL,ONL,120185,"Pierce, Justin D",,,,,0,9,4,2,9,0,3,1,2,0,0,1,3,0,2.86
34453,PS,491,Internship,WA,CNF,120185,"Mayer, Andrea L",,,,,0,6,13,3,0,0,0,0,0,0,0,0,0,0,3.71
39086,PSYC,100,Intro Psych,2ON,ONL,120185,"Shenouda, Christine K",,,,,2,7,11,2,8,1,0,2,0,1,3,0,0,0,3.19
31257,PSYC,100,Intro Psych,ONL,ONL,120185,"Shenouda, Christine K",,,,,3,10,5,6,6,7,5,3,0,1,1,1,4,0,2.84
30330,PSYC,201,Intro to Social Psych,S2,ONL,120185,"Shenouda, Christine K",,,,,3,1,8,8,3,5,2,5,0,2,1,0,1,0,2.89
38244,PSYC,204,Intro to Brain and Cognition,ONL,ONL,120185,"Dolcos, Sanda M",,,,,19,13,12,1,4,1,0,2,0,0,0,1,2,0,3.54
32930,PSYC,230,Perception & Sensory Processes,S2,ONL,120185,"Lleras, Alejandro",,,,,15,8,3,0,2,2,1,2,2,1,0,0,0,0,3.48
36932,RST,100,RST in Modern Society,ONL,ONL,120185,"Santos, Carla A",,,,,7,11,5,2,2,1,0,1,2,0,1,0,0,0,3.5
38593,RST,199,Illini Student Athlete Seminar,MR,LCD,120185,"McCann, Kenneth",,,,,8,13,14,11,8,6,3,4,0,0,0,0,0,0,3.39
37835,RST,242,Nature and American Culture,ONL,ONL,120185,"Milazzo, Liselle A",,,,,0,20,0,0,10,0,0,5,0,0,2,0,1,0,3.21
35114,SHS,514,Motor Speech Disorders,A,LCD,120185,"Mendes, Clarion C",,,,,0,12,8,2,1,0,0,0,0,0,0,0,0,0,3.78
30449,SHS,577,Advanced Practicum in SHS,E,CNF,120185,"Olson, Jaime L",,,,,2,10,6,1,1,0,0,0,1,0,0,0,0,0,3.72
39527,SOC,100,Introduction to Sociology,JVH,ONL,120185,"VanHeuvelen, Jane",,,,,14,40,4,6,4,2,2,4,0,0,0,0,1,0,3.64
36338,SOC,310,Sociology of Deviance,ONL,ONL,120185,"Lee, Meggan J",,,,,0,9,6,3,5,1,3,0,0,0,1,0,0,1,3.35
38317,SOC,350,Technology and Society,ONL,ONL,120185,"Steward, Daniel J",,,,,0,11,2,0,4,0,0,3,0,0,1,0,0,1,3.35
30378,SOCW,400,Generalist SW Practice Methods,C,LCD,120185,"Bragg, Mary",,,,,0,7,12,3,2,1,0,0,0,0,0,0,0,0,3.63
39149,SOCW,502,Brief Mot Interventions SU,A,ONL,120185,"Egizio, Lori L",,,,,9,8,1,2,2,1,0,0,0,0,0,0,0,0,3.78
39300,SOCW,502,Brief Mot Interventions SU,B,ONL,120185,"Campbell, Corey C",,,,,18,1,0,1,1,0,0,0,1,0,0,0,0,0,3.82
39209,SOCW,526,Managing Human Service Orgs,17A,ONL,120185,"Mauck, Carol W",,,,,0,19,2,2,0,1,0,0,0,0,0,1,0,0,3.73
39210,SOCW,526,Managing Human Service Orgs,17B,ONL,120185,"Mauck, Carol W",,,,,0,17,3,3,0,0,0,1,0,1,0,0,0,0,3.69
30386,SOCW,531,Field Practicum and Seminar I,B,ONL,120185,"Bedient, Mary Lou",,,,,0,21,0,0,0,0,0,0,0,0,0,0,1,0,3.82
30388,SOCW,531,Field Practicum and Seminar I,C,ONL,120185,"Maurer, Mary F",,,,,0,23,0,1,0,0,0,0,0,0,0,0,0,0,3.97
36918,STAT,100,Statistics,ONL,ONL,120185,"Flanagan, Karle A",,,,,22,22,10,5,2,5,5,4,5,4,4,0,9,2,2.95
34303,STAT,200,Statistical Analysis,ONL,ONL,120185,"Fireman, Ellen S",,,,,11,20,13,7,8,3,2,3,2,2,0,2,4,1,3.18
30460,STAT,400,Statistics and Probability I,AL1,LEC,120185,"Stepanov, Alexey G",,,,,13,17,11,10,8,2,4,5,2,0,4,0,0,0,3.29
33498,STAT,410,Statistics and Probability II,1GR,LCD,120185,"Stepanov, Alexey G",,,,,8,11,6,1,6,5,1,2,1,0,2,0,5,1,3.04
39301,STAT,420,Statistical Modeling in R,DSO,ONL,120185,"Unger, David",,,,,82,27,8,6,6,0,0,1,0,0,0,0,0,0,3.89
38705,STAT,420,Methods of Applied Statistics,OLG,ONL,120185,"Unger, David",,,,,16,12,9,6,6,1,0,0,4,0,0,0,0,1,3.58
38257,STAT,440,Statistical Data Management,OLG,ONL,120185,"Kinson, Christopher L",,,,,12,20,9,4,5,3,0,1,1,0,0,0,0,0,3.66
37298,STAT,448,Advanced Data Analysis,1GR,LBD,120185,"Glosemeyer, Darren W",,,,,0,6,7,4,2,2,1,3,2,0,2,2,0,0,2.88
30463,TAM,212,Introductory Dynamics,C,LEC,120185,"Essick, Raymond B",,,,,1,2,3,0,5,9,2,2,1,0,0,0,2,0,2.68
30464,TAM,251,Introductory Solid Mechanics,A,LCD,120185,"Leem, Juyoung",,,,,1,1,3,2,4,3,3,0,0,1,1,0,2,0,2.62
30486,THEA,101,Introduction to Theatre Arts,A,ONL,120185,"Morrissette, Jason W",,,,,21,3,2,1,0,2,0,1,0,1,0,0,1,1,3.6
38345,THEA,101,Introduction to Theatre Arts,E,ONL,120185,"Morrissette, Jason W",,,,,21,11,4,2,1,2,1,0,0,0,0,0,3,0,3.56
