Subject,Course,CRN,Course Title,Course Section,Sched Type,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade,Primary Instructor
SOCW,451,37404,HBSE I: Human Development,B,ONL,23,6,0,0,0,1,0,0,0,0,0,0,0,0,3.96,"Kingery, Linda S"
SOCW,505,36760,Behav and Cogn Methods for SW,20A,ONL,17,4,1,2,1,1,0,0,0,0,0,0,0,0,3.85,"Cintron, Valerie"
SOCW,505,36028,Behav and Cogn Methods for SW,20B,ONL,14,3,5,1,2,0,0,0,0,0,0,0,0,0,3.83,"Cintron, Valerie"
SOCW,505,41189,Behav and Cogn Methods for SW,A,ONL,0,23,0,0,1,0,0,0,0,0,0,0,2,0,3.65,"Harden, Kimberly L"
SOCW,526,39210,Managing Human Service Orgs,20B,ONL,2,24,0,0,1,0,0,0,0,0,0,0,0,0,3.96,"Mauck, Carol W"
SOCW,561,37011,BHWELL Field Seminar,A,ONL,23,2,2,0,0,1,0,1,0,0,0,0,0,0,3.86,"Dunlap Johnson, Kenna E"
SPAN,101,39038,Elementary Spanish I,2AO,ONL,0,6,1,2,1,1,2,0,1,1,1,1,4,0,2.35,"Saez Fajardo, Sara"
SPAN,130,39045,Intermediate Spanish,2AO,ONL,4,2,4,2,5,0,2,0,0,0,2,0,0,0,3.19,"Nuila, Ennio A"
SPAN,141,29991,Intro to Spanish Grammar,2AO,ONL,2,1,1,1,4,2,1,4,1,0,1,1,3,0,2.27,"Gastanaga, Kacie L"
SPAN,142,39043,Spanish in the Professions,2AO,ONL,5,4,2,5,2,2,1,0,1,0,0,0,1,1,3.28,"VanDyne, Katie N"
SPAN,228,30426,Spanish Composition,2AO,ONL,4,7,4,1,1,0,0,1,0,0,0,1,2,0,3.22,"Beristain Muril, Ander"
SPAN,307,39512,Bilingualism,2AO,ONL,3,3,4,1,1,4,1,0,2,1,0,0,2,0,2.85,"Bandin, Yvette A"
SPED,517,40647,Disability Issues in SPED,O,ONL,0,20,0,0,2,0,0,0,0,0,0,0,0,0,3.91,"Bentz, Johnell L"
STAT,100,30451,Statistics,S1,ONL,7,11,8,1,6,2,2,0,0,0,2,0,3,2,3.21,"Cardenas-Torres, Eduardo"
