Year,Term,TermYear,Course,Course Title,ACP,CS,HUM,NAT,QR,SBS
2023,Spring,2023-sp,CLCV 132,"Class Archaeology, Rome-Italy",,WCC,HP,,,
2023,Spring,2023-sp,CLCV 133,Archaeology of Israel,,WCC,HP,,,
2023,Spring,2023-sp,CLCV 160,Ancient Greek & Roman Religion,,WCC,HP,,,
2023,Spring,2023-sp,CLCV 203,Ancient Philosophy,,,HP,,,
2023,Spring,2023-sp,CLCV 220,Exploring the Greek and Roman World,,WCC,LA,,,
2023,Spring,2023-sp,CLCV 221,Odysseus and Other Heroes,,WCC,LA,,,
2023,Spring,2023-sp,CLCV 222,Introduction to Greek and Roman Theater,ACP,WCC,LA,,,
2023,Spring,2023-sp,CLCV 223,"Myth,History,Fiction,Tradition",,WCC,,,,
2023,Spring,2023-sp,CLCV 224,American Race and Ethnicity in the Classical Tradition,,US,LA,,,
2023,Spring,2023-sp,CLCV 225,"Greco-Roman Demo, Econ, Cult",,WCC,HP,,,
2023,Spring,2023-sp,CLCV 230,Ancient Engineering,,WCC,,PS,,
2023,Spring,2023-sp,CLCV 231,Development of Ancient Cities,,WCC,HP,,,
2023,Spring,2023-sp,CLCV 240,Gender & Sexuality in Greco-Roman Antiquity,,WCC,LA,,,
2023,Spring,2023-sp,CLCV 250,Sports and Society in Greece and Rome,,WCC,HP,,,
2023,Spring,2023-sp,CLCV 323,The Comic Imagination,ACP,WCC,LA,,,
2023,Spring,2023-sp,CMN 102,Introduction to Communication,,,,,,BSC
2023,Spring,2023-sp,CMN 210,Public Comm in Everyday Life,,WCC,HP,,,
2023,Spring,2023-sp,CMN 214,Organizational Communication & Diversity,,US,,,,
2023,Spring,2023-sp,CMN 220,Communicating Public Policy,ACP,,,,,
2023,Spring,2023-sp,CMN 230,Intro to Interpersonal Comm,,,,,,SS
2023,Spring,2023-sp,CMN 231,Communication and Conflict,,,,,,BSC
2023,Spring,2023-sp,CMN 232,Intro to Intercultural Comm,,NW,,,,SS
2023,Spring,2023-sp,CMN 250,Social Movement Communication,,US,,,,
2023,Spring,2023-sp,CMN 260,Intro to Health Communication,,WCC,,,,BSC
2023,Spring,2023-sp,CMN 275,"Media, Money and Power",,WCC,HP,,,
2023,Spring,2023-sp,CMN 277,Introduction to Mediated Communication,,US,,,,SS
2023,Spring,2023-sp,CMN 280,Comm Technology & Society,,,,,,SS
2023,Spring,2023-sp,CPSC 112,Introduction to Crop Sciences,,,,LS,,
2023,Spring,2023-sp,CPSC 113,"Environment, Agriculture, and Society",,WCC,,LS,,
2023,Spring,2023-sp,CPSC 116,The Global Food Production Web,,NW,,,,
2023,Spring,2023-sp,CPSC 131,Agriculture in Mythology,,NW,,,,
2023,Spring,2023-sp,CPSC 241,Intro to Applied Statistics,,,,,QR1,
2023,Spring,2023-sp,CPSC 261,Biotechnology in Agriculture,,,,LS,,
2023,Spring,2023-sp,CPSC 270,Applied Entomology,,,,LS,,
2023,Spring,2023-sp,CS 101,Intro Computing: Engrg & Sci,,,,,QR2,
2023,Spring,2023-sp,CS 105,Intro Computing: Non-Tech,,,,,QR1,
2023,Spring,2023-sp,CS 107,Data Science Discovery,,,,,QR1,
2023,Spring,2023-sp,CS 124,Introduction to Computer Science I,,,,,QR1,
2023,Spring,2023-sp,CS 125,Introduction to Computer Science,,,,,QR1,
2023,Spring,2023-sp,CS 128,Introduction to Computer Science II,,,,,QR2,
2023,Spring,2023-sp,CS 211,Ethical and Professional Conduct,ACP,,,,,
2023,Spring,2023-sp,CS 225,Data Structures,,,,,QR2,
2023,Spring,2023-sp,CS 429,"Software Engineering II, ACP",ACP,,,,,
2023,Spring,2023-sp,CS 493,"Senior Project II, ACP",ACP,,,,,
2023,Spring,2023-sp,CS 499,Senior Thesis,ACP,,,,,
2023,Spring,2023-sp,CW 100,Intro to Creative Writing,,,LA,,,
2023,Spring,2023-sp,CW 243,"The Craft Essay: Creative Reading, Reflection, and Revision",ACP,,,,,
2023,Spring,2023-sp,CWL 111,Bible as Literature,,,LA,,,
2023,Spring,2023-sp,CWL 114,Global Consciousness and Lit,,NW,LA,,,
2023,Spring,2023-sp,CWL 117,Russ & E Euro Science Fiction,,,LA,,,
2023,Spring,2023-sp,CWL 122,Russia and Black America,,US,,,,
2023,Spring,2023-sp,CWL 151,Cross-Cultural Thematics,,,LA,,,
2023,Spring,2023-sp,CWL 189,Literatures of the Islamic World,,NW,LA,,,
2023,Spring,2023-sp,CWL 190,Modern Asian and African Literatures,,NW,LA,,,
2023,Spring,2023-sp,CWL 201,Comparative Lit Studies,,,LA,,,
2023,Spring,2023-sp,CWL 202,Literature and Ideas,,WCC,LA,,,
2023,Spring,2023-sp,CWL 204,US Border Literatures and Cultures,,US,,,,
2023,Spring,2023-sp,CWL 205,Islam & West Through Lit,,,LA,,,
2023,Spring,2023-sp,CWL 207,Indian Cinema in Context,,NW,LA,,,
2023,Spring,2023-sp,CWL 208,Cultures & Literatures of South Asia,,NW,LA,,,
2023,Spring,2023-sp,CWL 209,Jewish American and US Minority Literatures in Dialogue,,US,LA,,,
2023,Spring,2023-sp,CWL 210,Introduction to Modern African Literature,,NW,LA,,,
2023,Spring,2023-sp,CWL 211,The Arab-Israeli Conflict,,WCC,LA,,,
2023,Spring,2023-sp,CWL 212,Israeli Cinema and Television,,WCC,LA,,,
2023,Spring,2023-sp,CWL 215,"Madness, Myth, and Murder",,,LA,,,
2023,Spring,2023-sp,CWL 216,Legends of King Arthur,,WCC,LA,,,
2023,Spring,2023-sp,CWL 217,Classical Chinese Lit,,NW,LA,,,
2023,Spring,2023-sp,CWL 220,Exploring the Greek and Roman World,,WCC,LA,,,
2023,Spring,2023-sp,CWL 221,Jewish Storytelling,,WCC,LA,,,
